GEOID,Population,PopDensity
420034810004,735,0.28266078
420030201003,524,0.31696488
420030402002,884,0.312724417
420030404001,371,0.493292026
420030405001,1727,0.643936852
420030510002,1263,0.314583681
420030709002,783,0.572380973
420030511001,402,0.206578657
420030603002,1092,0.150008036
420034838001,896,0.373725745
420030605001,681,0.166903992
420030605002,563,0.219735615
420030703001,690,0.683574401
420030703002,735,0.648079568
420034703002,2335,0.130531955
420034704001,834,0.210327218
420034704002,688,0.203746809
420032602001,743,0.128948282
420032602002,951,0.157193201
420032602003,386,0.152697726
420032607001,438,0.118440159
420032607002,1076,0.356834914
420034900041,2192,0.161791516
420034704003,1271,0.119968248
420034771001,1214,0.155792824
420034771002,616,0.105580332
420034771003,1513,0.189230496
420034772001,938,0.138796202
420034295003,446,0.028073108
420034110001,2396,0.027459584
420030409001,1233,0.287645252
420030409002,1579,0.685803137
420030501001,513,0.211877532
420030406001,2212,0.87409755
420030501002,242,0.100860229
420030501003,990,0.321099132
420030703003,767,0.358086594
420030705001,1374,0.95009577
420030705003,852,0.433877038
420030706001,881,0.608774367
420030706002,1269,0.875051717
420030708001,1304,0.707987665
420030708002,1262,0.480769231
420030709001,1840,0.600132421
420030903002,537,0.51089335
420035200012,1784,0.086652166
420030901001,1377,0.375223785
420030902001,927,0.579614091
420030902002,1025,0.476866175
420030903001,1094,0.721317096
420031102002,613,0.4220891
420031016001,1043,0.224492256
420031017001,687,0.393653413
420031017002,640,0.293606265
420031102003,979,0.328308657
420031102004,1546,0.681687905
420031115004,428,0.153304463
420031203001,1513,0.194831116
420031203002,585,0.193003062
420031204002,385,0.147348681
420031207001,345,0.109567985
420032615001,820,0.233616902
420032620001,1184,0.194204696
420032620002,667,0.364015412
420031113001,924,0.58181635
420031005002,1152,0.305994789
420031011001,1504,0.949063557
420031011002,411,0.064040837
420031005001,693,0.205133974
420031014001,1043,0.194685442
420031014004,822,0.550285519
420031106003,682,0.502013205
420031115003,635,0.260322718
420031113002,814,0.623363098
420031113003,631,0.697638422
420031113004,644,0.400532385
420031114001,615,0.395709607
420031114002,854,0.49592344
420031115001,664,0.337935843
420031115002,1043,0.424554991
420031207002,537,0.268427525
420031405001,589,0.154156601
420031208001,388,0.213047513
420031208002,448,0.083960696
420031301001,695,0.155614667
420031301002,518,0.306376536
420031301003,489,0.312559923
420031302001,307,0.189292343
420031303002,364,0.215477692
420031406002,994,0.308072809
420031405002,407,0.2037139
