,Budget,Cost,Block,DistTravel(mi),DesignatedPOD
729,275000,10000,7,5.586077287,39
730,275000,10000,9,3.673955994,39
731,275000,10000,10,3.436549584,39
732,275000,10000,11,3.719820733,10
733,275000,10000,12,4.86412519,17
734,275000,10000,13,3.096169214,10
735,275000,10000,14,2.972239034,10
736,275000,10000,15,3.011604106,10
737,275000,10000,16,3.86931446,17
738,275000,10000,17,4.654813024,17
739,275000,10000,18,2.680916747,17
740,275000,10000,19,2.556243684,17
741,275000,10000,20,2.210446004,17
742,275000,10000,21,1.564886533,17
743,275000,10000,22,1.89867605,17
744,275000,10000,23,0.96078953,17
745,275000,10000,24,0.861908782,17
746,275000,10000,25,1.259198226,17
747,275000,10000,26,1.531506637,17
748,275000,10000,27,1.622246026,17
749,275000,10000,28,1.372781746,17
750,275000,10000,29,1.273377639,17
751,275000,10000,30,1.267745222,17
752,275000,10000,31,3.462123915,27
753,275000,10000,32,3.570047491,27
754,275000,10000,33,2.596121724,27
755,275000,10000,37,1.19944181,10
756,275000,10000,40,5.638097421,17
757,275000,10000,41,3.642604221,17
758,275000,10000,42,4.082375859,17
759,275000,10000,44,6.83812825,17
760,275000,10000,51,9.290112439,1
761,275000,10000,52,8.151112139,17
762,275000,10000,57,1.559317672,10
763,275000,10000,58,2.274325837,10
764,275000,10000,59,2.195676398,10
